Company_Name,RFP_ID,End_Time,Event_Type,Participated,Doc_ID
Aramco e-Marketplace,Aramco_4203217313_CABLE TRAY; ALUMINUM OR STEEL,07-08-2025 19:30,RFP,Declined,Doc202592111
Aramco e-Marketplace,"Aramco_4203218407_COVER, CABLE TRAY 6096 MM (24 IN)",06/29/2025 07:30 PM,RFP,Declined,Doc204800414
Aramco e-Marketplace,"Aramco_4203210944_CABLE, POWER, 5KV THROUGH 35 KV",04/17/2025 07:30 PM,RFP,Declined,Doc194115463
Aramco e-Marketplace,Aramco_4203209823_WIRE; ELECTRICAL; BUILDING; IEC OR NEC U,04/16/2025 07:30 PM,RFP,Declined,Doc192698452
Aramco e-Marketplace,"Aramco_4203209976_CHANNEL, FRAMING 61 M (20 FT) LG,",04-09-2025 19:30,RFP,Declined,Doc192828095
Aramco e-Marketplace,Aramco_4203202987_CABLE; LOW VOL; 7 STR; 600-1000 V,01/28/2025 07:30 PM,RFP,No,Doc184766238
Aramco e-Marketplace,"Aramco_4203202437_TRAY, CABLE, BEND 1270 MM (5 IN)",01/28/2025 07:30 PM,RFP,No,Doc183911276
Aramco e-Marketplace,"Aramco_4203202436_TRAY, CABLE, STRAIGHT 366 M (12 FT)",01/27/2025 07:30 PM,RFP,No,Doc183911246
Aramco e-Marketplace,Aramco_4203200367_ACCESSORY; LIGHTNING GROUNDING,12/29/2024 07:30 PM,RFP,No,Doc179373040
Aramco e-Marketplace,"Aramco_4203178477_m5BLE, ELECTRICAL, LOW VOLTAGE XLPE,",07/22/2024 05:39 PM,RFP,No,Doc158103875
Aramco e-Marketplace,Aramco_4203167236_115 KV 1Cx400 184MM2 CU XLPE,07-09-2024 17:45,RFP,No,Doc147973610
Aramco e-Marketplace,Aramco_4203171893_ACCESSORY; LIGHTNING GROUNDING,06-05-2024 19:30,RFP,No,Doc152557883
Aramco e-Marketplace,"Aramco_4203160530_COVER, CABLE TRAY 4572 MM (18 IN)",03/25/2024 07:30 PM,RFP,No,Doc142092586
Aramco e-Marketplace,Aramco_4203079939,11-09-2022 19:30,RFP,No,Doc73223038
Aramco e-Marketplace,Aramco_4203063944,08-01-2022 19:30,RFP,No,Doc66308574
Aramco e-Marketplace,Aramco_4203054091,05/30/2022 07:30 PM,RFP,No,Doc62321129
Aramco e-Marketplace,Aramco_4203037303,01/31/2022 07:30 PM,RFP,No,Doc54964406
Aramco e-Marketplace,Aramco_4203014640,07/29/2021 05:00 PM,RFP,No,Doc43818697
Unknown,Supplier Performance Announcements for Material Suppliers 3,07-08-2021 11:06,Survey,No,Doc41296440
Aramco e-Marketplace,Aramco_4203238894_CABLE 600V TC 3 C 14 AWG (25MM2) PVC X,02/19/2026 07:30 PM,RFP,No,Doc243550558
Aramco e-Marketplace,Aramco_4203228771_TRANSMITTER TEMPERATURE RTD IP66 -200 TO,10/15/2025 07:30 PM,RFP,No,Doc222473654
